Designator,Mid X,Mid Y,Rotation,Layer
D1,174.117,-100.203,90.0,bottom
D10,345.567,-100.203,90.0,bottom
D11,364.617,-100.203,90.0,bottom
D12,383.667,-100.203,90.0,bottom
D13,402.717,-100.203,90.0,bottom
D14,421.767,-100.203,90.0,bottom
D15,440.817,-100.203,90.0,bottom
D16,459.867,-100.203,90.0,bottom
D17,174.117,-119.253,90.0,bottom
D18,193.167,-119.253,90.0,bottom
D19,212.217,-119.253,90.0,bottom
D2,193.167,-100.203,90.0,bottom
D20,231.267,-119.253,90.0,bottom
D21,250.317,-119.253,90.0,bottom
D22,269.367,-119.253,90.0,bottom
D23,288.417,-119.253,90.0,bottom
D24,307.467,-119.253,90.0,bottom
D25,326.517,-119.253,90.0,bottom
D26,345.567,-119.253,90.0,bottom
D27,364.617,-119.253,90.0,bottom
D28,383.667,-119.253,90.0,bottom
D29,402.717,-119.253,90.0,bottom
D3,212.217,-100.203,90.0,bottom
D30,431.292,-119.253,90.0,bottom
D31,459.867,-119.253,90.0,bottom
D32,178.8795,-138.303,90.0,bottom
D33,202.692,-138.303,90.0,bottom
D34,221.742,-138.303,90.0,bottom
D35,240.792,-138.303,90.0,bottom
D36,259.842,-138.303,90.0,bottom
D37,278.892,-138.303,90.0,bottom
D38,297.942,-138.303,90.0,bottom
D39,316.992,-138.303,90.0,bottom
D4,231.267,-100.203,90.0,bottom
D40,336.042,-138.303,90.0,bottom
D41,355.092,-138.303,90.0,bottom
D42,374.142,-138.303,90.0,bottom
D43,393.192,-138.303,90.0,bottom
D44,412.242,-138.303,90.0,bottom
D45,436.0545,-138.303,90.0,bottom
D46,459.867,-138.303,90.0,bottom
D47,181.26075,-157.353,90.0,bottom
D48,207.4545,-157.353,90.0,bottom
D49,226.5045,-157.353,90.0,bottom
D5,250.317,-100.203,90.0,bottom
D50,245.5545,-157.353,90.0,bottom
D51,264.6045,-157.353,90.0,bottom
D52,283.6545,-157.353,90.0,bottom
D53,302.7045,-157.353,90.0,bottom
D54,321.7545,-157.353,90.0,bottom
D55,340.8045,-157.353,90.0,bottom
D56,359.8545,-157.353,90.0,bottom
D57,378.9045,-157.353,90.0,bottom
D58,397.9545,-157.353,90.0,bottom
D59,428.91075,-157.353,90.0,bottom
D6,269.367,-100.203,90.0,bottom
D60,459.867,-157.353,90.0,bottom
D61,186.02325,-176.403,90.0,bottom
D62,216.9795,-176.403,90.0,bottom
D63,236.0295,-176.403,90.0,bottom
D64,255.0795,-176.403,90.0,bottom
D65,274.1295,-176.403,90.0,bottom
D66,293.1795,-176.403,90.0,bottom
D67,312.2295,-176.403,90.0,bottom
D68,331.2795,-176.403,90.0,bottom
D69,350.3295,-176.403,90.0,bottom
D7,288.417,-100.203,90.0,bottom
D70,369.3795,-176.403,90.0,bottom
D71,388.4295,-176.403,90.0,bottom
D72,414.62325,-176.403,90.0,bottom
D73,440.817,-176.403,90.0,bottom
D74,459.867,-176.403,90.0,bottom
D75,176.49825,-195.453,90.0,bottom
D76,200.31075,-195.453,90.0,bottom
